RTS,TK,rep,Lat,Long,age,ageCat,soil,Pcover,depth11,pH11sum,BD11sum,kgm2Water11sum,EOC11sum,ETN11sum,EON11sum,NH411sum,NO311sum,PO411sum,MBC11sum,MBN11sum,MBP11sum,P11,N11,C11,Nodules11sum,LegumeCover11sum,TN resin fall10,TNresin11,GrossMin11sum,GrossCons11,NetNH4minSum11,NetPminSum11
Iminus,TK3,R3,68.55458,149.57576,25,Bshrub,Organic,0.33,9.5,6.29,0.43,12.1,3182.46,486.19,266.53,191.04,28.63,198.56,3323.95,535.01,0,2.18,36.16,559.09,,0,18.8716098,,7837.31,4408.55,10.438,
Iminus,TK3,R4,68.5546,149.57588,25,Bshrub,Organic,0.33,8.25,5.5,0.25,6.57,2729.66,355.83,248.46,104.94,2.43,81.86,4246.35,658.42,0,1.36,31.06,485.57,,0,,0,957.37,1812.78,9.557,-1.631504966
Iminus,TK3,R5,68.55468,149.57599,25,Bshrub,Organic,0.33,6.5,5.61,0.25,11.9,2490.86,324.06,229.93,92.21,1.92,43.05,1362.22,298.09,111.57,,46.65,595.39,,0,0,0,419.32,1194.73,12.607,-0.069729913
Iminus,TK3,R6,68.55472,149.57607,25,Bshrub,Organic,0.33,9,4.8,0.14,9.7,5202.78,474.19,446.06,8.49,19.64,154.43,4903.01,737.72,18.49,,12.02,398.74,,0,21.89040011,0,161.03,1014.85,31.003,1.893050677
NE14,TK2,R2,68.6794,149.62553,44,Bshrub,Organic,1,5.5,7.14,0.13,4.84,4494.62,252.45,206.16,46.78,0,112.5,10957.8,1004.73,197.86,8.12,91.8,2491.96,1.66,29,0,0,0,252.85,7.026,2.195675699
NE14,TK2,R3,68.67947,149.62576,44,Bshrub,Organic,1,4.75,7.64,0.23,6.5,8249.68,1300.02,718.98,581,0.04,391.68,10110.38,1002.95,133.51,,132.51,2513.02,1.89,26,283.4875369,42.68,0,0,23.35,-0.796664249
NE14,TK2,R4,68.67945,149.62596,44,Bshrub,Organic,1,5.75,8.13,0.09,16.66,6145.37,739.45,518.62,220.88,0,169.54,12056.01,1381.6,364.3,,104.49,2524.59,0.02,0,0,0,1155.87,1205.25,6.48,0.60519996
NE14,TK2,R5,68.67948,149.62611,44,Bshrub,Organic,1,4.5,7.97,0.17,12.95,6596.01,763.99,438.19,326.26,0,221.67,12970.76,1543.73,223.18,10.48,155.28,3467.4,0.99,0,0,,1599.18,1455.73,,0
NE14,TK2,R6,68.67947,149.62634,44,Bshrub,Organic,1,5.25,6.92,0.09,8.32,5848.58,453.71,328.58,125.48,0,120.57,12569.84,1487.31,318.63,6.22,76.83,2412.65,0.13,1,0,,214.87,762.37,,0
NE14,TK3,R1,68.67852,149.6283,50,Bshrub,Organic,1,9.75,7.66,0.14,24.94,8891.34,1483.71,749.47,732.02,2.22,563.48,10528.76,1511.99,114.95,10.84,172.08,3380.06,,0,0,0,2515.9,3434.69,23.43,-0.684107718
NE14,TK3,R2,68.67852,149.62846,50,Bshrub,Organic,1,6,6.15,0.09,9.42,4971.93,491.23,315.68,176.14,0,181.52,7130.5,694.98,47.97,6.52,66.33,2022.48,,0,6.386872231,0,402.6,330.29,1.32,1.9911375
NE14,TK3,R3,68.67848,149.6286,50,Bshrub,Organic,1,8.25,7,0.09,9.27,5633.82,531.55,296.18,235.48,0,211.13,14702.77,1926.44,137.05,7.76,103.55,2409.88,,0,0,0,110.08,1028.46,15.63,2.870572763
NE14,TK3,R4,68.67845,149.62885,50,Bshrub,Organic,1,5.5,7.87,0.11,13.13,6202.49,1199.27,515.25,684.25,0,597.04,14609.33,2334.49,217.9,,143.67,3015.97,0.33,0,344.675303,167.493,0,2383.71,0.485,-1.317850593
NE14,TK3,R5,68.67845,149.62907,50,Bshrub,Organic,1,7,6.74,0.05,10.89,6589.46,528.22,341.47,186.15,0.6,154.81,10469.66,1133.27,290.81,,34.66,1376.94,1.62,0,33.96821007,0,723.66,563.44,3.76,2.852266334
Itkillik,TK3,R2,68.67371,149.84415,54,Bshrub,Organic,0.67,7.5,8.14,0.13,14,6069.81,554.7,428.58,121.56,4.55,195.95,8856.66,0,206.67,4.04,67.58,1686.61,1.7,0,0,,538.77,689.55,,0
Itkillik,TK3,R3,68.6738,149.84398,54,Bshrub,Organic,0.67,6.75,,0.06,10.83,4429.44,469.26,346.93,121.8,0.54,125.72,5816.53,0,158.45,1.61,34.11,1140.36,0.32,0,0,0,272.49,284.95,1.04,-0.055603077
Itkillik,TK3,R4,68.6739,149.84392,54,Bshrub,Organic,0.67,7,7.73,0.14,22.11,8765.95,1175.08,808.21,373.71,0,249.31,9558.32,0,372.02,5.77,99.69,2118.59,1.2,3,,0,1008.28,794.12,-4.127,
Itkillik,TK3,R5,68.67393,149.84375,54,Bshrub,Organic,0.67,8.5,7.41,0.26,9.89,3498.27,336.66,283.39,43.58,9.69,84.86,6601.04,108.94,129.89,,127.14,1716.1,0.23,0,,0,5.88,140.49,6.433,
Itkillik,TK3,R6,68.674,149.8436,54,Bshrub,Organic,0.67,7,7.97,0.07,22.85,7073.28,988.89,617.29,393.73,0,200.84,8549.17,138.39,324.94,,46.63,1282.44,0.56,0,0,,810.14,980.93,,0
NE14,TK4,R1,68.67715,149.6221,150,Cold,Organic,1,6.5,6.57,0.24,28.67,8995.07,1520.41,1066.12,454.78,0,215.94,15503.81,2088.06,576.78,,276.94,5672.07,4.82,11,,,1927.01,1046.07,,
NE14,TK4,R2,68.67728,149.62206,150,Cold,Organic,1,5.5,7.63,0.16,18.86,6037.94,628.75,499.22,131.88,0,248.67,17175.42,1910.95,637.24,10.81,204.56,4248.65,6.52,0,,,0,816,1.04,
NE14,TK4,R3,68.67738,149.62204,150,Cold,Organic,1,10,7.48,0.21,89.09,16536.23,1303.78,1154.91,158.4,0,322.2,32848.73,2983.9,1291.5,12.87,257.97,5554.25,1.59,0,,,9.55,1.95,-4.13,
NE14,TK4,R4,68.67747,149.62221,150,Cold,Organic,1,10,5.86,0.15,39.91,9760.28,681,690.24,0,0,194.83,21258.99,1469.74,317.19,9.94,226.33,4660.92,6.73,0,,,32.99,0,6.43,
NE14,TK4,R5,68.67751,149.6223,150,Cold,Organic,1,9.25,6.12,0.18,36.22,17925.75,1065.19,1046.71,24.92,0,234.62,29294.51,2192.44,518.07,,256.22,4862.94,3.16,0,,,0.51,0.45,,
Iminus,TK4,R1,68.55502,149.5761,150,Cold,Organic,1,9,7.21,0.07,15.58,4168.34,434.18,321.81,104.76,7.6,144.38,9484.98,1132.89,174.92,2.77,48.85,1388.11,,0,,0,0,930.24,8.365,0.527402373
Iminus,TK4,R2,68.55511,149.5761,150,Cold,Organic,1,10.5,7.43,0.06,31.62,7496.13,913.88,658.07,255.29,0.51,150.84,17584.18,2194.35,282.22,2.96,50.74,1567.89,,0,,0.13,2765.68,1978.56,7.755,
Iminus,TK4,R3,68.55519,149.57613,150,Cold,Organic,1,5,5.45,0.19,14.37,5223.48,515.53,457.69,59.36,0,206.35,19784.86,2281.87,170.15,12.16,168.7,3177.28,,0,,31.707,631.93,169.91,9.573,-0.56491293
Iminus,TK4,R4,68.55527,149.57614,150,Cold,Organic,1,7,5.72,0.09,9.71,3772.53,419.48,304.1,109.28,6.09,193.39,10258.84,1403.06,117.73,,69.18,1945.96,,0,,,477.95,876.38,,0
Iminus,TK4,R5,68.55539,149.57617,150,Cold,Organic,1,6,6.07,0.08,14.35,2622.89,244.08,198.62,43.94,1.52,101.39,9731.06,952.19,226.63,,65.04,1963.93,,0,,,170.93,248.42,,0
NE14,TK0,R2,68.67948,149.62132,,Dundisturbed,Organic,1,3.5,5.35,0.09,7.64,2998.18,196.3,194.71,1.9,0,65.59,7791.62,857,164.3,8.42,187.17,4154.34,1.23,0,5.877956311,,0,0,,0
NE14,TK0,R3,68.67947,149.6214,,Dundisturbed,Organic,1,6.85,5.9,0.08,20.16,6709.31,510.17,485.88,26.36,0,214.45,16156.13,1725.63,281.76,7.53,163.93,3973.68,,0,0,0,0,0,2.9,-0.753417898
NE14,TK0,R4,68.67953,149.62143,,Dundisturbed,Organic,1,4.75,5.12,0.07,8.86,2996.3,180.25,182.27,0,0,57.19,6518.76,741.53,104.9,8.49,135.71,3768.73,,0,125.5082155,1545.06,0,0,91.74,1.251873797
NE14,TK0,R5,68.6796,149.62164,,Dundisturbed,Organic,1,10,5.54,0.17,35.85,9267.92,722.02,679.42,45.77,0,163.27,18751.8,1276.84,0,,360.45,8014.38,,0,0,0,0,0,7.36,0.843433749
NE14,TK0,R6,68.67963,149.62178,,Dundisturbed,Organic,1,5,7.19,0.08,17.72,6853.26,601.64,493.7,108.39,0,115.79,12359.83,1404.05,512.32,,114.47,4168.7,2.33,0,0,0,399.19,591.86,0.07,0.427333697
Itkillik,TK0.2,R1,68.66605,149.81596,,Dundisturbed,Organic,1,8.5,7.13,0.2,42.09,11453.81,1088.79,787.78,263.23,37.78,187.04,16232.93,1315.63,813.22,,445.82,7218.77,0.98,0,,,1801.43,507.84,0.58,
Itkillik,TK0.2,R2,68.66606,149.81622,,Dundisturbed,Organic,1,10,7.48,0.11,28.81,12145.44,1138.08,796.72,332.85,8.51,313.44,32270.81,2400.37,811.91,,255.33,4937.46,5.22,8,,0,1719.5,918.73,1.31,-2.555219463
Itkillik,TK0.2,R3,68.66606,149.81644,,Dundisturbed,Organic,1,10,7.34,0.13,34.57,14027.04,1689.65,1062.53,629.9,0,349.89,48430.47,2844.33,988.89,13.02,312.58,6177.12,10.47,6,,26.79,87.26,0,-3.86,-3.475315613
Itkillik,TK0.2,R4,68.66607,149.81668,,Dundisturbed,Organic,1,6.5,7.55,0.22,35.48,14340.83,1310.27,1053.42,242.74,14.12,398.63,47594.58,2508.34,1034.63,21.06,457.82,9485.81,9.22,3,,0,127.57,287.43,1.11,-3.94689338
Itkillik,TK0.2,R5,68.66608,149.81708,,Dundisturbed,Organic,1,7.25,7.38,0.2,36.85,15716.75,1745,1298.18,439.48,7.34,537.51,59706.27,2469.72,1072.66,22.35,487.13,9706.59,2.22,0,,0,464.47,383.76,5.83,-5.143280233
Itkillik,TK0.3,R2,68.67165,149.84486,,Dundisturbed,Organic,1,7.5,6.38,0.14,29.72,7080.43,796.53,618.37,157.76,20.4,134.55,19450.34,1183.54,723.9,16.3,291.12,6388.32,8.35,23,,0,2053.18,1771.78,16.328,
Itkillik,TK0.3,R3,68.67171,149.84505,,Dundisturbed,Organic,1,6.25,6.22,0.32,26.79,7425.38,713.48,629.07,68.67,15.75,149.98,22941.13,833.94,448.8,28.29,413.81,8370.78,2.89,45,0,0,1157.61,1248.87,1.869,-0.700381916
Itkillik,TK0.3,R4,68.6718,149.84528,,Dundisturbed,Organic,1,8,6.96,0.17,37.85,16841.32,1282.36,1055.18,212.49,14.68,436.74,45509.66,1889.08,417.51,16.42,305.04,6607.84,7.27,31,82.79605141,0,270.87,808.11,2.333,-1.418127153
Itkillik,TK0.3,R5,68.67184,149.84547,,Dundisturbed,Organic,1,4,6.03,0.16,23.55,29662.16,2449.01,2236.75,205.67,6.58,180.6,0,0,335.99,,350.68,6502.42,4.31,6,14.88758416,,1644.04,1186.6,,0
Itkillik,TK0.3,R6,68.67194,149.84567,,Dundisturbed,Organic,1,4.5,6.96,0.11,24.73,7017.59,749.41,561.3,168.34,19.77,186.05,17156.76,0,366.25,,233.67,4897.61,1.68,2,0,0,857.53,433.61,0.357,-0.626922108
Iminus,TK0,R1,68.55293,149.57563,,Dundisturbed,Organic,1,8,4.8,0.16,24.19,5289.29,567.53,484.88,49.38,33.27,371.19,15472.84,1644.49,102.03,19.56,310.04,6430.49,,0,281.0152734,,0,0,,0
Iminus,TK0,R2,68.55298,149.57576,,Dundisturbed,Organic,1,9,4.92,0.12,32.79,8958.51,1111.76,832.98,239.17,39.61,523.21,17371.73,2020.39,11.36,12.47,235.49,5201.59,,0,360.2182236,,1109.2,438.12,,
