RTS,TK,rep,Lat,Long,age,ageCat,soil,Pcover,depth11,pH11sum,BD11sum,kgm2Water11sum,EOC11sum,ETN11sum,EON11sum,NH411sum,NO311sum,PO411sum,MBC11sum,MBN11sum,MBP11sum,P11,N11,C11,Nodules11sum,LegumeCover11sum,TN resin fall10,TNresin11,GrossMin11sum,GrossCons11,NetNH4minSum11,NetPminSum11
Iminus,TK3,R3,68.55458,149.57576,25,Bshrub,Mineral,1,10,5.58,0.84,45.74,5252.9,779.01,552.87,190.57,35.58,316.86,10705.05,1335.79,0,,436.93,5832.03,,,0,0,136.83,227.08,0.811,
Iminus,TK3,R4,68.5546,149.57588,25,Bshrub,Mineral,1,10,6.65,0.79,28.33,4886.38,561.6,372.96,181.08,7.55,181.54,13921.61,1253.87,78.42,38.58,241.23,3399.8,,,,0,252.43,191.14,1.605,3.623679658
Iminus,TK3,R5,68.55468,149.57599,25,Bshrub,Mineral,1,10,7.02,0.89,18.83,4054.26,500.25,317.97,124.35,57.93,89.35,2944.02,382.3,54.89,,64.22,847.55,,,0,,45.9,67.52,1.946,2.558926527
Iminus,TK3,R6,68.55472,149.57607,25,Bshrub,Mineral,1,10,6.55,0.77,29.12,7413.02,1096.43,597.5,417.08,81.85,307.66,22138.5,2355.28,322.4,46.79,284.43,4362.48,,,0,0,193.73,235.8,0.73,0.941228755
NE14,TK2,R2,68.6794,149.62553,44,Bshrub,Mineral,1,10,8.38,1.26,21.03,3173.21,172.33,135.78,24.91,11.63,50.01,0,0,0,75.64,71.48,1989.65,,,0,0,77.88,62.33,-0.08,2.092225957
NE14,TK2,R3,68.67947,149.62576,44,Bshrub,Mineral,1,10,8.27,1.47,15.64,4704.13,478.89,314.52,155.02,9.35,298.81,4645.24,460.51,24.42,,106.73,2282.71,,,128.5800014,0,55.93,19.84,0.59,-2.003311819
NE14,TK2,R4,68.67945,149.62596,44,Bshrub,Mineral,1,10,7.7,1.22,25.95,1970.09,146.09,108.83,31.11,6.15,117.2,0,113.55,17.63,,154.7,2736.92,,,0,0,88.93,48.03,1.967,2.11179918
NE14,TK2,R5,68.67948,149.62611,44,Bshrub,Mineral,1,10,8.3,1.37,30.41,2297.19,227.39,166.19,54.98,6.23,143.44,4778.95,336.86,0,85.64,221.96,3783.57,,,0,0,72.95,30.23,2.78,8.632082852
NE14,TK2,R6,68.67947,149.62634,44,Bshrub,Mineral,1,10,8.27,1.09,30.66,7124.06,485.9,375.81,101.42,8.67,220.02,7854.07,343.24,0,71.72,230.4,3772.31,,,0,0,46.6,54.81,0.4,0.157752983
NE14,TK3,R1,68.67852,149.6283,50,Bshrub,Mineral,1,10,7.43,1.05,26.28,4901.42,525.56,409.44,114.71,1.41,121.14,0,0,24.81,35.77,127.44,2201.35,,,0,0,0,87.58,2.45,1.667647976
NE14,TK3,R2,68.67852,149.62846,50,Bshrub,Mineral,1,10,7.74,1.44,26.33,7754.71,517.95,425.56,87.58,4.8,139.46,0,0,11.02,93.58,158.78,3172.12,,,0,0,88,29.6,2.23,2.824376088
NE14,TK3,R3,68.67848,149.6286,50,Bshrub,Mineral,1,10,6.76,1.03,33.74,6892.63,635.4,473.37,160.01,2.02,202.23,12278.35,255.37,2.52,61.6,312.33,4753.33,,,0,0,107.79,95.97,2.277,-0.261717399
